Customer Key,Product Key,BU Key,Scenario Key,Revenue,Material Costs,Labor Costs Variable,Taxes,Rev for Exp Travel,Travel Expenses,Cost Third Party,Subscription Revenue,YearPeriod
10029,50,60,1,0,0,0,0,0,0,0,15000,201411
10029,50,60,1,0,0,0,0,0,0,0,-15000,201411
10029,50,14,1,0,0,0,0,0,0,0,9790,201411
10029,50,14,1,0,0,0,0,0,0,0,15000,201411
10029,50,14,1,0,0,0,0,0,0,0,8050,201411
10029,50,113,1,0,0,0,0,0,0,0,5595.25,201310
10029,50,113,1,0,0,0,0,0,0,0,15000,201310
10029,50,113,1,0,0,0,0,0,0,0,15000,201311
10029,50,113,1,0,0,0,0,0,0,0,15000,201312
10029,50,113,1,0,0,0,0,0,0,0,15000,201401
10029,50,113,1,0,0,0,0,0,0,0,9790,201402
10029,50,113,1,0,0,0,0,0,0,0,15000,201402
10029,50,113,1,0,0,0,0,0,0,0,8050,201402
10029,50,113,1,0,0,0,0,0,0,0,9790,201403
10029,50,113,1,0,0,0,0,0,0,0,15000,201403
10029,50,113,1,0,0,0,0,0,0,0,8050,201403
10029,50,113,1,0,0,0,0,0,0,0,9790,201404
10029,50,113,1,0,0,0,0,0,0,0,15000,201404
10029,50,113,1,0,0,0,0,0,0,0,8050,201404
10029,50,113,1,0,0,0,0,0,0,0,9790,201405
10029,50,113,1,0,0,0,0,0,0,0,15000,201405
10029,50,113,1,0,0,0,0,0,0,0,8050,201405
10029,50,113,1,0,0,0,0,0,0,0,9790,201406
10029,50,113,1,0,0,0,0,0,0,0,15000,201406
10029,50,113,1,0,0,0,0,0,0,0,8050,201406
10029,50,113,1,0,0,0,0,0,0,0,9790,201407
10029,50,113,1,0,0,0,0,0,0,0,15000,201407
10029,50,113,1,0,0,0,0,0,0,0,8050,201407
10029,50,14,1,0,0,0,0,0,0,0,9790,201407
10029,50,14,1,0,0,0,0,0,0,0,8050,201407
10029,50,113,1,0,0,0,0,0,0,0,9790,201408
10029,50,113,1,0,0,0,0,0,0,0,15000,201408
10029,50,113,1,0,0,0,0,0,0,0,8050,201408
10029,50,14,1,0,0,0,0,0,0,0,9790,201408
10029,50,14,1,0,0,0,0,0,0,0,8050,201408
10029,50,113,1,0,0,0,0,0,0,0,9790,201409
10029,50,113,1,0,0,0,0,0,0,0,15000,201409
10029,50,113,1,0,0,0,0,0,0,0,8050,201409
10029,50,14,1,0,0,0,0,0,0,0,9790,201409
10029,50,14,1,0,0,0,0,0,0,0,8050,201409
10029,50,113,1,0,0,0,0,0,0,0,9790,201410
10029,50,113,1,0,0,0,0,0,0,0,15000,201410
10029,50,113,1,0,0,0,0,0,0,0,8050,201410
10029,50,60,1,0,0,0,0,0,0,0,15000,201410
10029,50,60,1,0,0,0,0,0,0,0,25000,201410
10029,50,60,1,0,0,0,0,0,0,0,-15000,201410
10029,50,60,1,0,0,0,0,0,0,0,-25000,201410
10029,50,14,1,0,0,0,0,0,0,0,25000,201410
10029,50,14,1,0,0,0,0,0,0,0,-25000,201410
10029,50,14,1,0,0,0,0,0,0,0,9790,201410
10029,50,60,1,0,0,0,0,0,0,0,25000,201410
10029,50,60,1,0,0,0,0,0,0,0,-25000,201410
10029,50,14,1,0,0,0,0,0,0,0,15000,201410
10029,50,14,1,0,0,0,0,0,0,0,25000,201410
10029,50,14,1,0,0,0,0,0,0,0,-25000,201410
10029,50,14,1,0,0,0,0,0,0,0,8050,201410
10029,50,113,1,0,0,0,0,0,0,0,9790,201411
10029,50,113,1,0,0,0,0,0,0,0,15000,201411
10029,50,113,1,0,0,0,0,0,0,0,8050,201411
10029,50,113,2,0,0,0,0,0,0,0,5595.25,201310
10029,50,113,2,0,0,0,0,0,0,0,15000,201310
10029,50,113,2,0,0,0,0,0,0,0,15000,201311
10029,50,113,2,0,0,0,0,0,0,0,15000,201312
10029,50,113,2,0,0,0,0,0,0,0,15000,201401
10029,50,14,2,0,0,0,0,0,0,0,9790,201408
10029,50,14,2,0,0,0,0,0,0,0,8050,201408
10029,50,113,2,0,0,0,0,0,0,0,9790,201409
10029,50,113,2,0,0,0,0,0,0,0,15000,201409
10029,50,113,2,0,0,0,0,0,0,0,8050,201409
10029,50,14,2,0,0,0,0,0,0,0,9790,201409
10029,50,14,2,0,0,0,0,0,0,0,8050,201409
10029,50,60,2,0,0,0,0,0,0,0,15000,201410
10029,50,60,2,0,0,0,0,0,0,0,25000,201410
10029,50,60,2,0,0,0,0,0,0,0,-15000,201410
10029,50,60,2,0,0,0,0,0,0,0,-25000,201410
10029,50,14,2,0,0,0,0,0,0,0,25000,201410
10029,50,14,2,0,0,0,0,0,0,0,-25000,201410
10029,50,14,2,0,0,0,0,0,0,0,9790,201410
10029,50,60,2,0,0,0,0,0,0,0,25000,201410
10029,50,60,2,0,0,0,0,0,0,0,-25000,201410
10029,50,14,2,0,0,0,0,0,0,0,15000,201410
10029,50,14,2,0,0,0,0,0,0,0,25000,201410
10029,50,14,2,0,0,0,0,0,0,0,-25000,201410
10029,50,14,2,0,0,0,0,0,0,0,8050,201410
10029,50,113,2,0,0,0,0,0,0,0,9790,201411
10029,50,113,2,0,0,0,0,0,0,0,15000,201411
10029,50,113,2,0,0,0,0,0,0,0,8050,201411
10029,50,113,2,0,0,0,0,0,0,0,9790,201402
10029,50,113,2,0,0,0,0,0,0,0,15000,201402
10029,50,113,2,0,0,0,0,0,0,0,8050,201402
10029,50,113,2,0,0,0,0,0,0,0,9790,201403
10029,50,113,2,0,0,0,0,0,0,0,15000,201403
10029,50,113,2,0,0,0,0,0,0,0,8050,201403
10029,50,113,2,0,0,0,0,0,0,0,9790,201404
10029,50,113,2,0,0,0,0,0,0,0,15000,201404
10029,50,113,2,0,0,0,0,0,0,0,8050,201404
10029,50,113,2,0,0,0,0,0,0,0,9790,201407
10029,50,113,2,0,0,0,0,0,0,0,15000,201407
10029,50,113,2,0,0,0,0,0,0,0,8050,201407
10029,50,113,2,0,0,0,0,0,0,0,9790,201408
10029,50,113,2,0,0,0,0,0,0,0,15000,201408
10029,50,113,2,0,0,0,0,0,0,0,8050,201408
10035,50,31,1,0,0,0,0,0,0,0,31600,201402
10035,50,31,1,0,0,0,0,0,0,0,31600,201402
10035,50,31,2,0,0,0,0,0,0,0,31600,201402
10035,50,31,2,0,0,0,0,0,0,0,31600,201402
10031,10,15,1,105600,0,0,5060,0,0,0,0,201404
10031,10,15,1,105600,0,0,5060,0,0,0,0,201405
10031,10,15,1,103200,0,0,4945,0,0,0,0,201406
10031,10,15,1,103200,0,0,4945,0,0,0,0,201407
10031,10,15,1,103200,0,0,4945,0,0,0,0,201408
10031,10,15,1,103200,0,0,4945,0,0,0,0,201409
10031,10,15,1,103200,0,0,4945,0,0,0,0,201410
10031,10,15,1,103200,0,0,4945,0,0,0,0,201411
10153,50,31,1,151200,0,0,7560,0,0,0,0,201411
10153,50,31,1,151200,0,0,7560,0,0,0,0,201411
10153,50,31,1,7200,0,0,360,0,0,0,0,201411
10153,50,31,1,7200,0,0,360,0,0,0,0,201411
10031,10,15,2,120400,0,0,4945,0,0,0,0,201409
10031,10,15,2,120400,0,0,4945,0,0,0,0,201411
10153,50,31,2,176400,0,0,7560,0,0,0,0,201411
10153,50,31,2,176400,0,0,7560,0,0,0,0,201411
10153,50,31,2,8400,0,0,360,0,0,0,0,201411
10153,50,31,2,8400,0,0,360,0,0,0,0,201411
10031,10,15,2,123200,0,0,5060,0,0,0,0,201404
10031,10,15,2,120400,0,0,4945,0,0,0,0,201407
10031,10,15,2,120400,0,0,4945,0,0,0,0,201408
1042,82,13,1,3600,0,0,0,0,0,0,0,201404
1042,82,13,1,3600,0,0,0,0,0,0,0,201405
1042,82,13,1,3600,0,0,0,0,0,0,0,201406
1042,82,13,1,3600,0,0,0,0,0,0,0,201407
1042,82,13,1,3600,0,0,0,0,0,0,0,201408
1042,82,13,1,3600,0,0,0,0,0,0,0,201409
1042,82,13,1,3600,0,0,0,0,0,0,0,201410
1042,82,13,1,3600,0,0,0,0,0,0,0,201411
1041,82,156,1,5220,0,0,0,0,0,0,0,201411
10150,10,72,1,233280,0,0,0,0,0,0,0,201411
10151,40,63,1,1681.308,0,0,0,0,0,0,0,201411
10151,40,63,1,11760,0,0,0,0,0,0,0,201411
10001,30,49,1,24000,0,0,0,0,0,0,0,201308
10001,30,49,1,24960,0,0,0,0,0,0,0,201308
10001,30,49,1,25920,0,0,0,0,0,0,0,201308
10001,30,49,1,40800,0,0,0,0,0,0,0,201308
10001,30,49,1,25110,0,0,0,0,0,0,0,201308
10001,30,49,1,27612,0,0,0,0,0,0,0,201308
10001,30,49,1,24960,0,0,0,0,0,0,0,201308
10001,30,49,1,24960,0,0,0,0,0,0,0,201308
10001,30,49,1,31919.4,0,0,0,0,0,0,0,201308
10001,30,49,1,26709,0,0,0,0,0,0,0,201308
10001,30,49,1,31919.4,0,0,0,0,0,0,0,201308
10001,30,49,1,20160,0,0,0,0,0,0,0,201308
10022,30,49,1,31248,0,0,0,0,0,0,0,201308
10017,30,49,1,32448,0,0,0,0,0,0,0,201308
10008,30,49,1,26460,0,0,0,0,0,0,0,201308
10008,30,49,1,16896,0,0,0,0,0,0,0,201308
10005,30,49,1,24741.6,0,0,0,0,0,0,0,201308
10010,30,49,1,33067.2,0,0,0,0,0,0,0,201308
10001,30,49,1,29013.6,0,0,0,0,0,0,0,201308
10001,30,49,1,24192,0,0,0,0,0,0,0,201308
10001,30,49,1,2688,0,0,0,0,0,0,0,201308
10001,30,49,1,24672,0,0,0,0,0,0,0,201308
10001,30,49,1,3600,0,0,0,0,0,0,0,201308
10001,30,49,1,2001,0,0,0,0,0,0,0,201308
10008,30,49,1,14976,0,0,0,0,0,0,0,201312
10008,30,49,1,-14976,0,0,0,0,0,0,0,201312
10008,30,49,1,14976,0,0,0,0,0,0,0,201312
10001,40,63,1,46080,0,0,0,0,0,0,0,201404
10091,40,63,1,10800,0,0,0,0,0,0,0,201404
10001,30,49,1,-15728.4,0,0,0,0,0,0,0,201405
10001,30,49,1,15728.4,0,0,0,0,0,0,0,201405
10001,30,49,1,-15728.4,0,0,0,0,0,0,0,201405
10001,40,63,1,-23040,0,0,0,0,0,0,0,201406
10001,40,63,1,23040,0,0,0,0,0,0,0,201406
10017,30,49,1,-2028,0,0,0,0,0,0,0,201407
10017,30,49,1,2028,0,0,0,0,0,0,0,201407
10017,30,49,1,-2028,0,0,0,0,0,0,0,201407
10008,30,49,1,14976,0,0,0,0,0,0,0,201407
10008,30,49,1,-14976,0,0,0,0,0,0,0,201407
1044,80,65,1,1565.232,0,0,0,0,0,0,0,201408
1044,80,65,1,1565.232,0,0,0,0,0,0,0,201409
1044,80,65,1,-1565.232,0,0,0,0,0,0,0,201409
10130,40,63,1,270,0,0,0,0,0,0,0,201410
10130,40,63,1,-270,0,0,0,0,0,0,0,201410
10130,40,63,1,270,0,0,0,0,0,0,0,201410
10130,40,63,1,-270,0,0,0,0,0,0,0,201410
10130,40,63,1,270,0,0,0,0,0,0,0,201410
10130,40,63,1,-270,0,0,0,0,0,0,0,201410
10130,40,63,1,270,0,0,0,0,0,0,0,201410
10130,40,63,1,4860,0,0,0,0,0,0,0,201410
10130,40,63,1,-4860,0,0,0,0,0,0,0,201410
10130,40,63,1,4860,0,0,0,0,0,0,0,201410
10130,40,63,1,-4860,0,0,0,0,0,0,0,201410
10130,40,63,1,4860,0,0,0,0,0,0,0,201410
10130,40,63,1,-4860,0,0,0,0,0,0,0,201410
10130,40,63,1,4860,0,0,0,0,0,0,0,201410
1044,80,65,1,1565.232,0,0,0,0,0,0,0,201411
1044,80,65,1,-1565.232,0,0,0,0,0,0,0,201411
10131,40,63,1,3150,0,0,0,0,0,0,0,201411
10131,40,63,1,600,0,0,0,0,0,0,0,201411
10115,40,63,1,5054.94,0,0,0,0,0,0,0,201411
10115,40,63,1,-5054.94,0,0,0,0,0,0,0,201411
10115,40,63,1,5054.94,0,0,0,0,0,0,0,201411
10115,40,63,1,-5054.94,0,0,0,0,0,0,0,201411
10115,40,63,1,5054.94,0,0,0,0,0,0,0,201411
10151,40,63,1,13441.308,0,0,0,0,0,0,0,201411
10151,40,63,1,-13441.308,0,0,0,0,0,0,0,201411
10151,40,63,1,13441.308,0,0,0,0,0,0,0,201411
10151,40,63,1,-13441.308,0,0,0,0,0,0,0,201411
10151,40,63,1,13441.308,0,0,0,0,0,0,0,201411
1042,82,13,2,4200,0,0,0,0,0,0,0,201409
1042,82,13,2,4200,0,0,0,0,0,0,0,201411
1041,82,156,2,6090,0,0,0,0,0,0,0,201411
1042,82,13,2,4200,0,0,0,0,0,0,0,201404
1042,82,13,2,4200,0,0,0,0,0,0,0,201407
1042,82,13,2,4200,0,0,0,0,0,0,0,201408
10001,30,49,2,29120,0,0,0,0,0,0,0,201308
10001,30,49,2,30240,0,0,0,0,0,0,0,201308
10001,30,49,2,47600,0,0,0,0,0,0,0,201308
10001,30,49,2,29295,0,0,0,0,0,0,0,201308
10001,30,49,2,32214,0,0,0,0,0,0,0,201308
10001,30,49,2,29120,0,0,0,0,0,0,0,201308
10001,30,49,2,29120,0,0,0,0,0,0,0,201308
10001,30,49,2,37239.3,0,0,0,0,0,0,0,201308
10001,30,49,2,31160.5,0,0,0,0,0,0,0,201308
10001,30,49,2,37239.3,0,0,0,0,0,0,0,201308
10008,30,49,2,30870,0,0,0,0,0,0,0,201308
10005,30,49,2,28865.2,0,0,0,0,0,0,0,201308
10010,30,49,2,38578.4,0,0,0,0,0,0,0,201308
10001,30,49,2,33849.2,0,0,0,0,0,0,0,201308
10001,30,49,2,28224,0,0,0,0,0,0,0,201308
10001,30,49,2,4200,0,0,0,0,0,0,0,201308
10001,30,49,2,2334.5,0,0,0,0,0,0,0,201308
10008,30,49,2,17472,0,0,0,0,0,0,0,201312
10008,30,49,2,-17472,0,0,0,0,0,0,0,201312
10008,30,49,2,17472,0,0,0,0,0,0,0,201312
10001,30,49,2,-18349.8,0,0,0,0,0,0,0,201405
10001,40,63,2,53760,0,0,0,0,0,0,0,201404
10091,40,63,2,12600,0,0,0,0,0,0,0,201404
10017,30,49,2,-2366,0,0,0,0,0,0,0,201407
10017,30,49,2,2366,0,0,0,0,0,0,0,201407
10017,30,49,2,-2366,0,0,0,0,0,0,0,201407
1044,80,65,2,1826.104,0,0,0,0,0,0,0,201408
1044,80,65,2,1826.104,0,0,0,0,0,0,0,201409
1044,80,65,2,-1826.104,0,0,0,0,0,0,0,201409
10130,40,63,2,315,0,0,0,0,0,0,0,201410
10130,40,63,2,-315,0,0,0,0,0,0,0,201410
10130,40,63,2,315,0,0,0,0,0,0,0,201410
10130,40,63,2,5670,0,0,0,0,0,0,0,201410
10130,40,63,2,-5670,0,0,0,0,0,0,0,201410
10130,40,63,2,5670,0,0,0,0,0,0,0,201410
1044,80,65,2,1826.104,0,0,0,0,0,0,0,201411
1044,80,65,2,-1826.104,0,0,0,0,0,0,0,201411
10151,40,63,2,15681.526,0,0,0,0,0,0,0,201411
10151,40,63,2,-15681.526,0,0,0,0,0,0,0,201411
10151,40,63,2,15681.526,0,0,0,0,0,0,0,201411
10151,40,63,2,-15681.526,0,0,0,0,0,0,0,201411
10151,40,63,2,15681.526,0,0,0,0,0,0,0,201411
10131,40,63,2,3675,0,0,0,0,0,0,0,201411
10131,40,63,2,700,0,0,0,0,0,0,0,201411
10115,40,63,2,5897.43,0,0,0,0,0,0,0,201411
10115,40,63,2,-5897.43,0,0,0,0,0,0,0,201411
10115,40,63,2,5897.43,0,0,0,0,0,0,0,201411
10115,40,63,2,-5897.43,0,0,0,0,0,0,0,201411
10115,40,63,2,5897.43,0,0,0,0,0,0,0,201411
10021,10,72,1,36000,0,0,0,0,0,0,0,201411
10021,10,72,1,-36000,0,0,0,0,0,0,0,201411
10021,10,72,1,36000,0,0,0,0,0,0,0,201411
10021,10,72,1,12000,0,0,0,0,0,0,0,201411
10021,10,72,1,-12000,0,0,0,0,0,0,0,201411
10021,10,72,1,36000,0,0,0,0,0,0,0,201403
10021,10,72,1,-36000,0,0,0,0,0,0,0,201403
10021,10,72,1,36000,0,0,0,0,0,0,0,201403
10021,10,72,1,36000,0,0,0,0,0,0,0,201404
10021,10,72,1,-36000,0,0,0,0,0,0,0,201404
10021,10,72,1,36000,0,0,0,0,0,0,0,201404
10021,10,72,1,12000,0,0,0,0,0,0,0,201404
